# reactions: 2
Time	S	I	R	N	Fired Reaction
0.0	1.0	43.0	56.0	100.0	 0
0.011455946739269831	1.0	42.0	57.0	100.0	 2
0.020379832133086133	1.0	41.0	58.0	100.0	 2
0.03558742989635755	1.0	40.0	59.0	100.0	 2
0.04787088280418968	1.0	39.0	60.0	100.0	 2
0.05772613723177332	1.0	38.0	61.0	100.0	 2
0.13471517253880266	1.0	37.0	62.0	100.0	 2
0.14846537882940247	1.0	36.0	63.0	100.0	 2
0.16504124304363008	1.0	35.0	64.0	100.0	 2
0.17853878644827953	1.0	34.0	65.0	100.0	 2
0.20007433044156261	1.0	33.0	66.0	100.0	 2
0.2780200075666423	1.0	32.0	67.0	100.0	 2
0.31340423162544956	1.0	31.0	68.0	100.0	 2
0.32429291153147494	1.0	30.0	69.0	100.0	 2
0.33306026138616196	1.0	29.0	70.0	100.0	 2
0.3348712765159359	1.0	28.0	71.0	100.0	 2
0.34845023627021543	1.0	27.0	72.0	100.0	 2
0.36416418342481677	1.0	26.0	73.0	100.0	 2
0.42593033625759974	1.0	25.0	74.0	100.0	 2
0.43424986783490405	1.0	24.0	75.0	100.0	 2
0.474196526856322	1.0	23.0	76.0	100.0	 2
0.5986009133738486	1.0	22.0	77.0	100.0	 2
0.7582563129695329	1.0	21.0	78.0	100.0	 2
0.7631074213067585	1.0	20.0	79.0	100.0	 2
0.7717257961117389	1.0	19.0	80.0	100.0	 2
0.7737924681380866	1.0	18.0	81.0	100.0	 2
0.7880567301001208	1.0	17.0	82.0	100.0	 2
0.7995095595500182	1.0	16.0	83.0	100.0	 2
0.9226474800107873	1.0	15.0	84.0	100.0	 2
0.9829314126079466	1.0	14.0	85.0	100.0	 2
1.0608331607738835	1.0	13.0	86.0	100.0	 2
1.0657378613857316	1.0	12.0	87.0	100.0	 2
1.0863107926980622	1.0	11.0	88.0	100.0	 2
1.221813181928886	1.0	10.0	89.0	100.0	 2
1.3614365896305836	1.0	9.0	90.0	100.0	 2
1.4218159920010642	1.0	8.0	91.0	100.0	 2
1.5280753510915712	1.0	7.0	92.0	100.0	 2
1.6351119668668832	1.0	6.0	93.0	100.0	 2
1.6996090379090447	1.0	5.0	94.0	100.0	 2
1.8317751834138152	1.0	4.0	95.0	100.0	 2
2.0627053997044786	1.0	3.0	96.0	100.0	 2
2.3154619927342055	1.0	2.0	97.0	100.0	 2
2.499438115991578	1.0	1.0	98.0	100.0	 2
2.5588690371652993	1.0	0.0	99.0	100.0	 2
