# reactions: 3
Time	S	I	R	N	Fired Reaction
0.0	15.0	78.0	7.0	100.0	 0
0.0075736367946889266	15.0	77.0	8.0	100.0	 2
0.015442122086441166	15.0	76.0	9.0	100.0	 2
0.020019694444783645	15.0	75.0	10.0	100.0	 2
0.022480683540862408	15.0	74.0	11.0	100.0	 2
0.02646672215113199	15.0	73.0	12.0	100.0	 2
0.04022567709860524	15.0	72.0	13.0	100.0	 2
0.06274318853039014	15.0	71.0	14.0	100.0	 2
0.0650871929263677	15.0	70.0	15.0	100.0	 2
0.07754645944860872	14.0	71.0	15.0	100.0	 1
0.09103360440247098	14.0	70.0	16.0	100.0	 2
0.10666981489509438	14.0	69.0	17.0	100.0	 2
0.11688774339262757	15.0	69.0	16.0	100.0	 3
0.11694516991324275	15.0	68.0	17.0	100.0	 2
0.12383866153598937	15.0	67.0	18.0	100.0	 2
0.1279808919440343	15.0	66.0	19.0	100.0	 2
0.12994282251520892	16.0	66.0	18.0	100.0	 3
0.14908434136696025	15.0	67.0	18.0	100.0	 1
0.15608852167350223	15.0	66.0	19.0	100.0	 2
0.16146366264155215	15.0	65.0	20.0	100.0	 2
0.1808336007913499	15.0	64.0	21.0	100.0	 2
0.19153997657559907	15.0	63.0	22.0	100.0	 2
0.2044430574810698	15.0	62.0	23.0	100.0	 2
0.2059364311158643	16.0	62.0	22.0	100.0	 3
0.22003013929926357	17.0	62.0	21.0	100.0	 3
0.22328221308313828	18.0	62.0	20.0	100.0	 3
0.24091909979546353	18.0	61.0	21.0	100.0	 2
0.24514977607166816	18.0	60.0	22.0	100.0	 2
0.25770650072790224	17.0	61.0	22.0	100.0	 1
0.25825277081864206	17.0	60.0	23.0	100.0	 2
0.26691003922857653	17.0	59.0	24.0	100.0	 2
0.2824160507774119	17.0	58.0	25.0	100.0	 2
0.2841952165955833	17.0	57.0	26.0	100.0	 2
0.3405537160645309	18.0	57.0	25.0	100.0	 3
0.3513333447204114	18.0	56.0	26.0	100.0	 2
0.3545701681095544	18.0	55.0	27.0	100.0	 2
0.3572952733544222	18.0	54.0	28.0	100.0	 2
0.3660085615895076	18.0	53.0	29.0	100.0	 2
0.37821703690636027	17.0	54.0	29.0	100.0	 1
0.3831485820251527	16.0	55.0	29.0	100.0	 1
0.3880451900319995	17.0	55.0	28.0	100.0	 3
0.4126674765335997	16.0	56.0	28.0	100.0	 1
0.4162292466422643	16.0	55.0	29.0	100.0	 2
0.433143058532942	16.0	54.0	30.0	100.0	 2
0.5104478441503921	16.0	53.0	31.0	100.0	 2
0.512551485677057	16.0	52.0	32.0	100.0	 2
0.525841549605503	17.0	52.0	31.0	100.0	 3
0.5261200380660132	18.0	52.0	30.0	100.0	 3
0.5273027801638613	18.0	51.0	31.0	100.0	 2
0.5395123375164215	18.0	50.0	32.0	100.0	 2
0.5422378694097056	19.0	50.0	31.0	100.0	 3
0.5431298116378886	19.0	49.0	32.0	100.0	 2
0.5450935826277159	19.0	48.0	33.0	100.0	 2
0.5540596260191405	19.0	47.0	34.0	100.0	 2
0.5725730211083613	20.0	47.0	33.0	100.0	 3
0.575431442283905	20.0	46.0	34.0	100.0	 2
0.5769179736718973	19.0	47.0	34.0	100.0	 1
0.62164032825264	19.0	46.0	35.0	100.0	 2
0.636470352682064	19.0	45.0	36.0	100.0	 2
0.6410596673824717	19.0	44.0	37.0	100.0	 2
0.6523087634164945	20.0	44.0	36.0	100.0	 3
0.6619153643278017	20.0	43.0	37.0	100.0	 2
0.6620350763952243	20.0	42.0	38.0	100.0	 2
0.6718066207157001	21.0	42.0	37.0	100.0	 3
0.6718790328817665	20.0	43.0	37.0	100.0	 1
0.6811294944150207	20.0	42.0	38.0	100.0	 2
0.6883498495156514	21.0	42.0	37.0	100.0	 3
0.6892843523464328	21.0	41.0	38.0	100.0	 2
0.6939140156103177	22.0	41.0	37.0	100.0	 3
0.6968616054928229	21.0	42.0	37.0	100.0	 1
